Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Blank_5
Sample ID:,5
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 12:51:29
Comments:,LOD
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,-0.041
251.0,-0.041
252.0,-0.041
253.0,-0.041
254.0,-0.040
255.0,-0.040
256.0,-0.040
257.0,-0.040
258.0,-0.040
259.0,-0.040
260.0,-0.039
261.0,-0.039
262.0,-0.039
263.0,-0.038
264.0,-0.038
265.0,-0.038
266.0,-0.038
267.0,-0.037
268.0,-0.037
269.0,-0.037
270.0,-0.036
271.0,-0.036
272.0,-0.036
273.0,-0.036
274.0,-0.036
275.0,-0.036
276.0,-0.036
277.0,-0.036
278.0,-0.035
279.0,-0.035
280.0,-0.035
281.0,-0.035
282.0,-0.035
283.0,-0.035
284.0,-0.035
285.0,-0.036
286.0,-0.036
287.0,-0.036
288.0,-0.036
289.0,-0.036
290.0,-0.036
291.0,-0.036
292.0,-0.036
293.0,-0.036
294.0,-0.037
295.0,-0.037
296.0,-0.037
297.0,-0.038
298.0,-0.038
299.0,-0.038
300.0,-0.039
301.0,-0.039
302.0,-0.039
303.0,-0.040
304.0,-0.040
305.0,-0.040
306.0,-0.041
307.0,-0.041
308.0,-0.041
309.0,-0.041
310.0,-0.041
311.0,-0.041
312.0,-0.041
313.0,-0.041
314.0,-0.041
315.0,-0.041
316.0,-0.041
317.0,-0.041
318.0,-0.041
319.0,-0.040
320.0,-0.040
321.0,-0.040
322.0,-0.040
323.0,-0.039
324.0,-0.039
325.0,-0.039
326.0,-0.038
327.0,-0.038
328.0,-0.037
329.0,-0.037
330.0,-0.037
331.0,-0.036
332.0,-0.036
333.0,-0.036
334.0,-0.035
335.0,-0.035
336.0,-0.035
337.0,-0.034
338.0,-0.034
339.0,-0.034
340.0,-0.033
341.0,-0.032
342.0,-0.032
343.0,-0.031
344.0,-0.031
345.0,-0.031
346.0,-0.030
347.0,-0.030
348.0,-0.030
349.0,-0.029
350.0,-0.029
351.0,-0.029
352.0,-0.028
353.0,-0.028
354.0,-0.028
355.0,-0.028
356.0,-0.027
357.0,-0.027
358.0,-0.027
359.0,-0.026
360.0,-0.026
361.0,-0.026
362.0,-0.025
363.0,-0.025
364.0,-0.025
365.0,-0.025
366.0,-0.024
367.0,-0.024
368.0,-0.024
369.0,-0.023
370.0,-0.023
371.0,-0.023
372.0,-0.023
373.0,-0.022
374.0,-0.022
375.0,-0.022
376.0,-0.022
377.0,-0.021
378.0,-0.021
379.0,-0.021
380.0,-0.021
381.0,-0.020
382.0,-0.020
383.0,-0.020
384.0,-0.020
385.0,-0.019
386.0,-0.019
387.0,-0.019
388.0,-0.019
389.0,-0.019
390.0,-0.018
391.0,-0.018
392.0,-0.018
393.0,-0.018
394.0,-0.018
395.0,-0.017
396.0,-0.017
397.0,-0.017
398.0,-0.017
399.0,-0.017
400.0,-0.017
401.0,-0.016
402.0,-0.016
403.0,-0.016
404.0,-0.016
405.0,-0.016
406.0,-0.016
407.0,-0.015
408.0,-0.015
409.0,-0.015
410.0,-0.015
