Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Blank_2
Sample ID:,2
Edinburgh
Analyst:,Alexandra
Date/Time:,19/10/2023 12:33:23
Comments:,LOD
Parameter File Name:,Uvvis_confirm_alexandra.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Instrument Information]
Instrument Name:,UV
Instrument Type:,UV-1900 Series
Model (S/N):,1900 (A12535951280)

Parameter
[Measurement]
Start:,665 nm
End:,250 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
250.0,0.006
251.0,0.006
252.0,0.006
253.0,0.005
254.0,0.005
255.0,0.005
256.0,0.005
257.0,0.005
258.0,0.005
259.0,0.005
260.0,0.005
261.0,0.005
262.0,0.005
263.0,0.005
264.0,0.005
265.0,0.005
266.0,0.005
267.0,0.005
268.0,0.005
269.0,0.005
270.0,0.005
271.0,0.005
272.0,0.005
273.0,0.005
274.0,0.005
275.0,0.004
276.0,0.004
277.0,0.004
278.0,0.004
279.0,0.004
280.0,0.003
281.0,0.003
282.0,0.003
283.0,0.002
284.0,0.002
285.0,0.001
286.0,0.001
287.0,0.001
288.0,0.000
289.0,-0.000
290.0,-0.001
291.0,-0.001
292.0,-0.002
293.0,-0.002
294.0,-0.003
295.0,-0.003
296.0,-0.004
297.0,-0.005
298.0,-0.005
299.0,-0.006
300.0,-0.007
301.0,-0.007
302.0,-0.008
303.0,-0.008
304.0,-0.009
305.0,-0.010
306.0,-0.011
307.0,-0.011
308.0,-0.011
309.0,-0.012
310.0,-0.012
311.0,-0.012
312.0,-0.012
313.0,-0.013
314.0,-0.013
315.0,-0.013
316.0,-0.013
317.0,-0.013
318.0,-0.013
319.0,-0.013
320.0,-0.014
321.0,-0.014
322.0,-0.013
323.0,-0.013
324.0,-0.013
325.0,-0.013
326.0,-0.013
327.0,-0.013
328.0,-0.013
329.0,-0.013
330.0,-0.013
331.0,-0.012
332.0,-0.012
333.0,-0.012
334.0,-0.012
335.0,-0.012
336.0,-0.012
337.0,-0.012
338.0,-0.012
339.0,-0.011
340.0,-0.011
341.0,-0.009
342.0,-0.009
343.0,-0.009
344.0,-0.009
345.0,-0.009
346.0,-0.009
347.0,-0.009
348.0,-0.009
349.0,-0.009
350.0,-0.008
351.0,-0.008
352.0,-0.008
353.0,-0.008
354.0,-0.008
355.0,-0.008
356.0,-0.008
357.0,-0.008
358.0,-0.008
359.0,-0.007
360.0,-0.007
361.0,-0.007
362.0,-0.007
363.0,-0.007
364.0,-0.007
365.0,-0.007
366.0,-0.007
367.0,-0.007
368.0,-0.006
369.0,-0.006
370.0,-0.006
371.0,-0.006
372.0,-0.006
373.0,-0.006
374.0,-0.006
375.0,-0.006
376.0,-0.006
377.0,-0.006
378.0,-0.005
379.0,-0.005
380.0,-0.005
381.0,-0.005
382.0,-0.005
383.0,-0.005
384.0,-0.005
385.0,-0.005
386.0,-0.005
387.0,-0.005
388.0,-0.005
389.0,-0.005
390.0,-0.005
391.0,-0.004
392.0,-0.004
393.0,-0.004
394.0,-0.004
395.0,-0.004
396.0,-0.004
397.0,-0.004
398.0,-0.004
399.0,-0.004
400.0,-0.004
401.0,-0.004
402.0,-0.004
403.0,-0.004
404.0,-0.004
405.0,-0.004
406.0,-0.003
407.0,-0.003
408.0,-0.003
409.0,-0.003
410.0,-0.003
411.0,-0.003
412.0,-0.003
413.0,-0.003
414.0,-0.003
415.0,-0.003
416.0,-0.003
417.0,-0.003
418.0,-0.003
419.0,-0.003
420.0,-0.003
421.0,-0.003
422.0,-0.003
423.0,-0.003
424.0,-0.003
425.0,-0.003
426.0,-0.002
427.0,-0.002
428.0,-0.002
429.0,-0.002
430.0,-0.002
431.0,-0.002
432.0,-0.002
433.0,-0.002
434.0,-0.002
435.0,-0.002
436.0,-0.002
437.0,-0.002
438.0,-0.002
439.0,-0.002
440.0,-0.002
441.0,-0.002
442.0,-0.002
443.0,-0.002
444.0,-0.002
445.0,-0.002
446.0,-0.002
447.0,-0.002
448.0,-0.002
449.0,-0.002
450.0,-0.002
451.0,-0.002
452.0,-0.002
453.0,-0.002
454.0,-0.002
455.0,-0.002
456.0,-0.002
457.0,-0.002
458.0,-0.002
459.0,-0.002
460.0,-0.002
461.0,-0.002
462.0,-0.002
463.0,-0.002
464.0,-0.002
465.0,-0.002
466.0,-0.002
467.0,-0.002
468.0,-0.002
469.0,-0.002
470.0,-0.002
471.0,-0.002
472.0,-0.001
473.0,-0.001
474.0,-0.001
475.0,-0.001
476.0,-0.001
477.0,-0.001
478.0,-0.001
479.0,-0.001
480.0,-0.001
481.0,-0.001
482.0,-0.001
483.0,-0.001
484.0,-0.001
485.0,-0.001
486.0,-0.001
487.0,-0.001
488.0,-0.001
489.0,-0.001
490.0,-0.001
491.0,-0.001
492.0,-0.001
493.0,-0.001
494.0,-0.001
495.0,-0.001
496.0,-0.001
497.0,-0.001
498.0,-0.001
499.0,-0.001
500.0,-0.001
501.0,-0.001
502.0,-0.001
503.0,-0.001
504.0,-0.001
505.0,-0.001
506.0,-0.001
507.0,-0.001
508.0,-0.001
509.0,-0.001
510.0,-0.001
511.0,-0.001
512.0,-0.001
513.0,-0.001
514.0,-0.001
515.0,-0.001
516.0,-0.001
517.0,-0.001
518.0,-0.001
519.0,-0.001
520.0,-0.001
521.0,-0.001
522.0,-0.001
523.0,-0.001
524.0,-0.001
525.0,-0.001
526.0,-0.001
527.0,-0.001
528.0,-0.001
529.0,-0.001
530.0,-0.001
531.0,-0.001
532.0,-0.001
533.0,-0.001
534.0,-0.001
535.0,-0.001
536.0,-0.001
537.0,-0.001
538.0,-0.001
539.0,-0.001
540.0,-0.001
541.0,-0.001
542.0,-0.001
543.0,-0.001
544.0,-0.001
545.0,-0.001
546.0,-0.001
547.0,-0.001
548.0,-0.001
549.0,-0.001
550.0,-0.001
551.0,-0.001
552.0,-0.001
553.0,-0.001
554.0,-0.001
555.0,-0.001
556.0,-0.001
557.0,-0.001
558.0,-0.001
559.0,-0.001
560.0,-0.001
561.0,-0.001
562.0,-0.001
563.0,-0.001
564.0,-0.001
565.0,-0.001
566.0,-0.001
567.0,-0.001
568.0,-0.001
569.0,-0.001
570.0,-0.001
571.0,-0.001
572.0,-0.001
573.0,-0.001
574.0,-0.001
575.0,-0.001
576.0,-0.001
577.0,-0.001
578.0,-0.001
579.0,-0.001
580.0,-0.001
581.0,-0.001
582.0,-0.001
583.0,-0.001
584.0,-0.001
585.0,-0.001
586.0,-0.001
587.0,-0.001
588.0,-0.001
589.0,-0.001
590.0,-0.001
591.0,-0.001
592.0,-0.001
593.0,-0.001
594.0,-0.001
595.0,-0.001
596.0,-0.001
597.0,-0.001
598.0,-0.001
599.0,-0.001
600.0,-0.001
601.0,-0.001
602.0,-0.001
603.0,-0.001
604.0,-0.001
605.0,-0.001
606.0,-0.001
607.0,-0.001
608.0,-0.001
609.0,-0.001
610.0,-0.001
611.0,-0.001
612.0,-0.001
613.0,-0.001
614.0,-0.001
615.0,-0.001
616.0,-0.001
617.0,-0.001
618.0,-0.001
619.0,-0.001
620.0,-0.001
621.0,-0.001
622.0,-0.001
623.0,-0.001
624.0,-0.001
625.0,-0.001
626.0,-0.001
627.0,-0.001
628.0,-0.002
629.0,-0.002
630.0,-0.002
631.0,-0.002
632.0,-0.002
633.0,-0.002
634.0,-0.002
635.0,-0.001
636.0,-0.002
637.0,-0.002
638.0,-0.002
639.0,-0.002
640.0,-0.002
641.0,-0.002
642.0,-0.001
643.0,-0.001
644.0,-0.001
645.0,-0.001
646.0,-0.001
647.0,-0.001
648.0,-0.001
649.0,-0.001
650.0,-0.001
651.0,-0.001
652.0,-0.001
653.0,-0.001
654.0,-0.001
655.0,-0.001
656.0,-0.001
657.0,-0.001
658.0,-0.001
659.0,-0.001
660.0,-0.001
661.0,-0.001
662.0,-0.001
663.0,-0.001
664.0,-0.001
665.0,-0.001
